 Bond orders with absolute value >=  0.050000
 #  125:        16(C )   29(H )    0.07709676
 #  126:        16(C )   47(H )    1.11031302
 #  127:        16(C )   48(H )    1.02139673
 #  128:        17(C )   49(H )    0.93207113
 #  129:        17(C )   50(H )    0.92567153
 #  130:        17(C )   51(H )    0.91243502
 #  131:        18(C )   19(C )    0.75252542
 #  132:        18(C )   20(C )   -0.08508287
 #  133:        18(C )   44(H )   -0.07718501
 #  134:        18(C )   46(H )   -0.06746485
 #  135:        18(C )   52(H )    1.14747632
 #  136:        18(C )   53(H )    0.97522240
 #  137:        18(C )   54(H )   -0.09271408
 #  138:        18(C )   55(H )   -0.09414763
 #  139:        19(C )   20(C )    1.14433375
 #  140:        19(C )   54(H )    1.01663623
 #  141:        19(C )   55(H )    1.02188183
 #  142:        20(C )   21(C )    0.86684973
 #  143:        20(C )   22(C )    0.87236849
 #  144:        20(C )   56(H )    0.91872547
 #  145:        21(C )   22(C )   -0.09373734
 #  146:        21(C )   57(H )    1.00776262
 #  147:        21(C )   58(H )    0.99329438
 #  148:        21(C )   59(H )    0.99732921
 #  149:        22(C )   60(H )    0.99459630
 #  150:        22(C )   61(H )    1.00786524
 #  151:        22(C )   62(H )    0.99083876
 #  152:        23(C )   63(H )    0.98109180
 #  153:        23(C )   64(H )    0.99907230
 #  154:        23(C )   65(H )    0.97084168
 #  155:        24(C )   66(H )    0.96133148
 #  156:        24(C )   67(H )    0.97960335
 #  157:        24(C )   68(H )    0.98930394

 Total valences and free valences defined by Mayer:
 Atom     1(C ) :    3.62760995    0.00000000
 Atom     2(C ) :    3.43431955    0.00000000
 Atom     3(C ) :    3.55294924    0.00000000
 Atom     4(C ) :    3.75292231    0.00000000
 Atom     5(C ) :    3.77199265    0.00000000
 Atom     6(C ) :    3.79943046    0.00000000
 Atom     7(C ) :    3.88768735    0.00000000
 Atom     8(C ) :    3.28549958    0.00000000
 Atom     9(C ) :    3.22238252    0.00000000
 Atom    10(C ) :    3.51472788    0.00000000
 Atom    11(C ) :    3.21580404    0.00000000
 Atom    12(C ) :    3.87930911    0.00000000
 Atom    13(C ) :    3.49251194    0.00000000
 Atom    14(C ) :    5.02157908    0.00000000
 Atom    15(C ) :    3.59052887    0.00000000
 Atom    16(C ) :    3.93266208    0.00000000
 Atom    17(C ) :    3.94187456    0.00000000
 Atom    18(C ) :    3.18360997    0.00000000
