graph_alias,src,dst,bond_idx,a1,a2,distance,bo_mayer_abs,bo_wiberg,bo_mull
C23,0,1,0,0,1,1.52161531260171,1.019883891411489,1.120685962306689,1.110973856725197
C23,0,5,1,0,5,1.529253252965316,0.8943149884785839,1.078091068283724,1.040698116319909
C23,0,23,2,0,23,1.096959113087174,0.769069384126959,0.9342535734368982,0.6973149538114761
C23,0,24,3,0,24,1.094622173818893,0.9445714792042741,1.120111392737039,0.3829282780649134
C23,1,2,4,1,2,1.548192883308149,1.06255978975904,1.264060368846509,0.4210249218531418
C23,1,25,5,1,25,1.09882074912517,0.7550872683607779,1.255284946665447,0.9300934181173913
C23,1,26,6,1,26,1.097660535229358,0.963162975153415,0.7887208365432781,0.5518025006737303
C23,2,3,7,2,3,1.569927124895293,0.9264061504821327,1.031077917451841,0.7170202994958449
C23,2,21,8,2,21,1.539476651404951,1.115777769252491,1.07197931039669,0.7295605217680697
C23,2,22,9,2,22,1.551449954346578,0.858995992801328,1.130483859487398,1.142552913848321
C23,3,4,10,3,4,1.574717590188476,1.026572029882796,1.233060798482273,0.5625306827571668
C23,3,15,11,3,15,1.538220820045679,1.132147753987459,1.431020726055473,0.4626023343212819
C23,3,27,12,3,27,1.103700311884526,0.8367871286160482,0.9302346631648123,1.014805776692773
C23,4,5,13,4,5,1.560208508500707,0.9155661261559935,0.9512432400839235,0.8121621964025255
C23,4,6,14,4,6,1.547106558508495,1.279009142039075,1.037587176780302,0.9239709390095596
C23,4,7,15,4,7,1.590244311427964,1.094151366392821,1.383973129693396,0.7454385062020424
C23,5,28,16,5,28,1.098386841981458,0.7754085755840994,0.9770963385578356,0.6731423155140078
C23,5,29,17,5,29,1.096172063874098,0.9047043524327439,1.194663489677139,0.5328247009378012
C23,6,30,18,6,30,1.090514529708339,0.7955387315993397,0.8920646673951045,0.8589206296725567
C23,6,31,19,6,31,1.092293588290712,0.9327994734950789,0.913207712111849,0.9320935389995505
C23,6,32,20,6,32,1.092940395301134,0.9478129128276171,0.9406174989219257,0.6604446299057716
C23,7,8,21,7,8,1.541595859585125,0.791352824394099,0.8921235782467978,0.8669774163811237
C23,7,13,22,7,13,1.57917869787146,1.173221218478749,1.345097899408002,0.960392531579439
C23,7,33,23,7,33,1.103335162845815,0.7185401274307569,1.000446945675807,0.7959011540304783
C23,8,9,24,8,9,1.523914848370144,1.063613869681372,1.14609727317874,1.179165232397323
C23,8,34,25,8,34,1.093375439995796,0.963235497115341,0.8730620164365844,0.9034637102936266
C23,8,35,26,8,35,1.094029395604158,0.8478273434174554,1.092912198227498,0.821143559684738
C23,9,10,27,9,10,1.533457670999432,1.153185983058365,1.071635378691844,0.8642193949901141
C23,9,36,28,9,36,1.097045447385385,0.7720223899479841,0.9529998481652973,0.9738868054301392
C23,9,37,29,9,37,1.098131316549619,0.8103425645199448,0.9239653196683466,0.666569528266275
C23,10,11,30,10,11,1.534488424362335,1.091289995564788,0.7569005957663395,1.099145185267667
C23,10,12,31,10,12,1.561973835855454,0.8154903703610821,1.19364440932174,0.7647749283090436
C23,10,38,32,10,38,1.097357063126219,0.9056602130572661,0.9042767573549458,0.6948745193330836
C23,11,39,33,11,39,1.094907341872361,0.8196789534903379,0.9028034320701063,0.7238489903611309
C23,11,40,34,11,40,1.095568717054754,0.9317004705137414,1.052109372827305,0.7503448024699861
C23,11,41,35,11,41,1.093383993642216,0.8592692163317358,0.9563429134704807,0.8529964472693028
C23,12,13,36,12,13,1.593251848760264,1.037858861341099,1.119137962641867,0.8558132377499312
C23,12,17,37,12,17,1.558364621120808,0.9823427294630356,1.029856195224168,0.8237864378557366
C23,12,42,38,12,42,1.100400601190766,0.9536008448266374,0.9571960941762899,0.8126799753383165
C23,13,14,39,13,14,1.554134756486065,0.9309248739035615,1.0005529477792,1.121394208158771
C23,13,16,40,13,16,1.549425830416222,0.9128098283489091,0.8280113360890055,0.5441868113209072
C23,14,15,41,14,15,1.530837408673109,1.237863705552082,0.9994892223672954,1.072559233499764
C23,14,43,42,14,43,1.095501823579039,1.021463206753655,0.9691173360954625,0.8086815434231787
C23,14,44,43,14,44,1.09832084131414,0.9322950805035549,0.9881456116714631,0.731391522751763
C23,15,45,44,15,45,1.094806011376445,0.8607088978059797,1.150279806927717,0.479701454981306
C23,15,46,45,15,46,1.093248535716376,0.8652507683631101,1.049237753542587,0.5146603956000815
C23,16,47,46,16,47,1.089770127714097,0.8466765014821552,1.138682856629922,1.104291128704459
C23,16,48,47,16,48,1.095134239105417,0.9569583105943203,0.8522586721142136,0.960810732350269
C23,16,49,48,16,49,1.09254321690357,1.109930467665371,0.9312683621306589,1.041389003909708
C23,17,18,49,17,18,1.536420970552342,1.11362834606329,1.437098944116433,0.5058158524541777
C23,17,50,50,17,50,1.095564304342744,1.0154373048012,0.9318807932535587,0.8632341920884731
C23,17,51,51,17,51,1.093122935026981,0.83671375953167,0.7324318652712183,0.9928120597012506
C23,18,19,52,18,19,1.530365925423394,0.7412445035416828,1.133055794916674,1.041915014496362
C23,18,52,53,18,52,1.09472936406036,0.9416415038421295,1.282594171261847,0.7974849703627431
C23,18,53,54,18,53,1.09806000868896,0.8270821016361114,0.9925155241789861,1.01559379536062
C23,19,20,55,19,20,1.52137092322714,1.091835623475306,0.9048852519914111,0.853602374375344
C23,19,54,56,19,54,1.096883445358713,0.8777659967467517,0.9711609543800631,1.032582091477203
C23,19,55,57,19,55,1.096164715574261,0.8776530102536063,0.9887098457124799,0.9768812454237531
